Datum;plusminus
27.05.2020;1,48
26.05.2020;1,23
22.05.2020;0,24
21.05.2020;-0,78
20.05.2020;1,67
19.05.2020;-1,05
18.05.2020;3,15
15.05.2020;0,39
14.05.2020;1,15
13.05.2020;-1,75
12.05.2020;-2,05
11.05.2020;0,02
08.05.2020;1,69
07.05.2020;1,15
06.05.2020;-0,7
05.05.2020;0,9
04.05.2020;0,42
01.05.2020;-2,81
30.04.2020;-0,92
29.04.2020;2,66
28.04.2020;-0,52
27.04.2020;1,47
24.04.2020;1,39
23.04.2020;-0,05
22.04.2020;2,29
21.04.2020;-3,07
20.04.2020;-1,79
17.04.2020;2,68
16.04.2020;0,58
15.04.2020;-2,2
14.04.2020;3,06
13.04.2020;-1,01
09.04.2020;1,45
08.04.2020;3,41
07.04.2020;-0,16
06.04.2020;7,03
03.04.2020;-1,51
02.04.2020;2,28
01.04.2020;-4,41
31.03.2020;-1,6
30.03.2020;3,35
27.03.2020;-3,37
26.03.2020;6,24
25.03.2020;1,15
24.03.2020;9,38
23.03.2020;-2,93
20.03.2020;-4,34
19.03.2020;0,47
18.03.2020;-5,18
17.03.2020;6
16.03.2020;-11,98
13.03.2020;9,29
12.03.2020;-9,51
11.03.2020;-4,89
10.03.2020;4,94
09.03.2020;-7,6
06.03.2020;-1,71
05.03.2020;-3,39
04.03.2020;4,22
03.03.2020;-2,81
02.03.2020;4,6
28.02.2020;-0,82
27.02.2020;-4,42
26.02.2020;-0,38
25.02.2020;-3,03
24.02.2020;-3,35
21.02.2020;-1,05
20.02.2020;-0,38
19.02.2020;0,47
18.02.2020;-0,29
14.02.2020;0,18
13.02.2020;-0,16
12.02.2020;0,65
11.02.2020;0,17
10.02.2020;0,73
07.02.2020;-0,54
06.02.2020;0,33
05.02.2020;1,13
04.02.2020;1,5
03.02.2020;0,73
31.01.2020;-1,77
30.01.2020;0,31
29.01.2020;-0,09
28.01.2020;1,01
27.01.2020;-1,57
24.01.2020;-0,9
23.01.2020;0,11
22.01.2020;0,03
21.01.2020;-0,27
17.01.2020;0,39
16.01.2020;0,84
15.01.2020;0,19
14.01.2020;-0,15
13.01.2020;0,7
10.01.2020;-0,29
09.01.2020;0,67
08.01.2020;0,49
07.01.2020;-0,28
06.01.2020;0,35
03.01.2020;-0,71
02.01.2020;0,84
31.12.2019;0,29
30.12.2019;-0,58
27.12.2019;0
26.12.2019;0,51
24.12.2019;-0,02
23.12.2019;0,09
20.12.2019;0,49
19.12.2019;0,45
18.12.2019;-0,04
17.12.2019;0,03
16.12.2019;0,71
13.12.2019;0,01
12.12.2019;0,86
11.12.2019;0,29
10.12.2019;-0,11
09.12.2019;-0,32
06.12.2019;0,91
05.12.2019;0,15
04.12.2019;0,63
03.12.2019;-0,66
02.12.2019;-0,86
29.11.2019;-0,4
27.11.2019;0,42
26.11.2019;0,22
25.11.2019;0,75
22.11.2019;0,22
21.11.2019;-0,16
20.11.2019;-0,38
19.11.2019;-0,06
18.11.2019;0,05
15.11.2019;0,77
14.11.2019;0,08
13.11.2019;0,07
12.11.2019;0,16
11.11.2019;-0,2
08.11.2019;0,26
07.11.2019;0,27
06.11.2019;0,07
05.11.2019;-0,12
04.11.2019;0,37
01.11.2019;0,97
31.10.2019;-0,3
30.10.2019;0,33
29.10.2019;-0,08
28.10.2019;0,56
25.10.2019;0,41
24.10.2019;0,19
23.10.2019;0,28
22.10.2019;-0,36
21.10.2019;0,69
18.10.2019;-0,39
17.10.2019;0,28
16.10.2019;-0,2
15.10.2019;1
14.10.2019;-0,14
11.10.2019;1,09
10.10.2019;0,64
09.10.2019;0,91
08.10.2019;-1,56
07.10.2019;-0,45
04.10.2019;1,42
03.10.2019;0,8
02.10.2019;-1,79
01.10.2019;-1,23
30.09.2019;0,5
27.09.2019;-0,53
26.09.2019;-0,24
25.09.2019;0,62
24.09.2019;-0,84
23.09.2019;-0,01
20.09.2019;-0,49
19.09.2019;0
18.09.2019;0,03
17.09.2019;0,26
16.09.2019;-0,31
13.09.2019;-0,07
12.09.2019;0,29
11.09.2019;0,72
10.09.2019;0,03
09.09.2019;-0,01
06.09.2019;0,09
05.09.2019;1,3
04.09.2019;1,08
03.09.2019;-0,69
30.08.2019;0,06
29.08.2019;1,27
28.08.2019;0,65
27.08.2019;-0,32
26.08.2019;1,1
23.08.2019;-2,59
22.08.2019;-0,05
21.08.2019;0,82
20.08.2019;-0,79
19.08.2019;1,21
16.08.2019;1,44
15.08.2019;0,25
14.08.2019;-2,93
13.08.2019;1,48
12.08.2019;-1,2
09.08.2019;-0,66
08.08.2019;1,88
07.08.2019;0,08
06.08.2019;1,3
05.08.2019;-2,98
02.08.2019;-0,73
01.08.2019;-0,9
31.07.2019;-1,09
30.07.2019;-0,26
29.07.2019;-0,16
26.07.2019;0,74
25.07.2019;-0,53
24.07.2019;0,47
23.07.2019;0,68
22.07.2019;0,28
19.07.2019;-0,62
18.07.2019;0,36
17.07.2019;-0,65
16.07.2019;-0,34
15.07.2019;0,02
12.07.2019;0,46
11.07.2019;0,23
10.07.2019;0,45
09.07.2019;0,12
08.07.2019;-0,48
05.07.2019;-0,18
03.07.2019;0,77
02.07.2019;0,29
01.07.2019;0,77
28.06.2019;0,58
27.06.2019;0,38
26.06.2019;-0,12
25.06.2019;-0,95
24.06.2019;-0,17
21.06.2019;-0,13
20.06.2019;0,95
19.06.2019;0,3
18.06.2019;0,97
17.06.2019;0,09
14.06.2019;-0,16
13.06.2019;0,41
12.06.2019;-0,2
11.06.2019;-0,03
10.06.2019;0,47
07.06.2019;1,05
06.06.2019;0,61
05.06.2019;0,82
04.06.2019;2,14
03.06.2019;-0,28
31.05.2019;-1,32
30.05.2019;0,21
29.05.2019;-0,69
28.05.2019;-0,84
24.05.2019;0,14
23.05.2019;-1,19
22.05.2019;-0,28
21.05.2019;0,85
20.05.2019;-0,67
17.05.2019;-0,58
16.05.2019;0,89
15.05.2019;0,58
14.05.2019;0,8
13.05.2019;-2,41
10.05.2019;0,37
09.05.2019;-0,3
08.05.2019;-0,16
07.05.2019;-1,65
06.05.2019;-0,45
03.05.2019;0,96
02.05.2019;-0,21
01.05.2019;-0,75
30.04.2019;0,1
29.04.2019;0,11
26.04.2019;0,47
25.04.2019;-0,04
24.04.2019;-0,22
23.04.2019;0,88
22.04.2019;0,1
18.04.2019;0,16
17.04.2019;-0,23
16.04.2019;0,05
15.04.2019;-0,06
12.04.2019;0,66
11.04.2019;0
10.04.2019;0,35
09.04.2019;-0,61
08.04.2019;0,1
05.04.2019;0,46
04.04.2019;0,21
03.04.2019;0,21
02.04.2019;0
01.04.2019;1,16
29.03.2019;0,67
28.03.2019;0,36
27.03.2019;-0,46
26.03.2019;0,72
25.03.2019;-0,08
22.03.2019;-1,9
21.03.2019;1,09
20.03.2019;-0,29
19.03.2019;-0,01
18.03.2019;0,37
15.03.2019;0,5
14.03.2019;-0,09
13.03.2019;0,69
12.03.2019;0,3
11.03.2019;1,47
08.03.2019;-0,21
07.03.2019;-0,81
06.03.2019;-0,65
05.03.2019;-0,11
04.03.2019;-0,39
01.03.2019;0,69
28.02.2019;-0,28
27.02.2019;-0,05
26.02.2019;-0,08
25.02.2019;0,12
22.02.2019;0,64
21.02.2019;-0,35
20.02.2019;0,18
